id,parent,focus,signal,slack,drag,confidence,score,lane,kind,invariant,mutation
m001,g001,event finality,120,33,39,91,377,ship,baseline,monotonic-signal,raise-signal
m002,g002,nonce pressure,33,14,24,64,160,ship,edge,drag-penalty,drop-slack
m003,g003,settlement risk,86,59,46,97,333,ship,recovery,confidence-floor,raise-drag
m004,g004,proof depth,72,43,6,20,215,ship,negative,lane-boundary,lower-confidence
m005,g005,event finality,77,73,12,92,387,ship,baseline,monotonic-signal,raise-signal
m006,g006,nonce pressure,70,9,38,40,153,ship,edge,drag-penalty,drop-slack
m007,g007,settlement risk,74,31,38,104,311,ship,recovery,confidence-floor,raise-drag
m008,g008,proof depth,36,74,8,85,300,ship,negative,lane-boundary,lower-confidence
m009,g009,event finality,117,63,40,56,329,ship,baseline,monotonic-signal,raise-signal
m010,g010,nonce pressure,60,49,16,40,217,ship,edge,drag-penalty,drop-slack
m011,g011,settlement risk,83,26,33,36,198,ship,recovery,confidence-floor,raise-drag
m012,g012,proof depth,98,12,33,69,280,ship,negative,lane-boundary,lower-confidence
m013,g013,event finality,74,77,9,23,253,ship,baseline,monotonic-signal,raise-signal
m014,g014,nonce pressure,52,31,27,84,249,ship,edge,drag-penalty,drop-slack
m015,g015,settlement risk,93,62,45,33,224,ship,recovery,confidence-floor,raise-drag
m016,g016,proof depth,117,40,24,85,396,ship,negative,lane-boundary,lower-confidence
m017,g017,event finality,54,66,18,49,236,ship,baseline,monotonic-signal,raise-signal
m018,g018,nonce pressure,56,36,38,29,130,watch,edge,drag-penalty,drop-slack
m019,g019,settlement risk,65,75,35,67,269,ship,recovery,confidence-floor,raise-drag
m020,g020,proof depth,117,21,4,77,401,ship,negative,lane-boundary,lower-confidence
m021,g021,event finality,68,32,14,63,266,ship,baseline,monotonic-signal,raise-signal
m022,g022,nonce pressure,77,64,42,96,326,ship,edge,drag-penalty,drop-slack
m023,g023,settlement risk,90,29,22,32,229,ship,recovery,confidence-floor,raise-drag
m024,g024,proof depth,56,43,24,78,263,ship,negative,lane-boundary,lower-confidence
m025,g025,event finality,95,27,9,39,277,ship,baseline,monotonic-signal,raise-signal
m026,g026,nonce pressure,105,36,24,103,404,ship,edge,drag-penalty,drop-slack
m027,g027,settlement risk,30,60,40,97,234,ship,recovery,confidence-floor,raise-drag
m028,g028,proof depth,40,34,39,42,120,watch,negative,lane-boundary,lower-confidence
m029,g029,event finality,101,58,23,39,292,ship,baseline,monotonic-signal,raise-signal
m030,g030,nonce pressure,34,27,16,35,133,watch,edge,drag-penalty,drop-slack
m031,g031,settlement risk,52,30,42,81,212,ship,recovery,confidence-floor,raise-drag
m032,g032,proof depth,64,64,25,9,160,ship,negative,lane-boundary,lower-confidence
m033,g033,event finality,83,48,43,83,294,ship,baseline,monotonic-signal,raise-signal
m034,g034,nonce pressure,39,0,11,32,120,watch,edge,drag-penalty,drop-slack
m035,g035,settlement risk,113,25,25,97,395,ship,recovery,confidence-floor,raise-drag
m036,g036,proof depth,109,36,36,35,252,ship,negative,lane-boundary,lower-confidence
m037,g037,event finality,120,9,12,28,281,ship,baseline,monotonic-signal,raise-signal
m038,g038,nonce pressure,115,57,23,66,373,ship,edge,drag-penalty,drop-slack
m039,g039,settlement risk,77,65,16,89,365,ship,recovery,confidence-floor,raise-drag
m040,g040,proof depth,61,31,45,49,161,ship,negative,lane-boundary,lower-confidence
m041,g041,event finality,110,17,23,95,381,ship,baseline,monotonic-signal,raise-signal
m042,g042,nonce pressure,36,1,13,31,109,hold,edge,drag-penalty,drop-slack
m043,g043,settlement risk,51,47,38,90,253,ship,recovery,confidence-floor,raise-drag
m044,g044,proof depth,106,67,41,25,247,ship,negative,lane-boundary,lower-confidence
m045,g045,event finality,102,45,27,102,399,ship,baseline,monotonic-signal,raise-signal
m046,g046,nonce pressure,46,60,42,96,260,ship,edge,drag-penalty,drop-slack
m047,g047,settlement risk,70,52,16,54,268,ship,recovery,confidence-floor,raise-drag
m048,g048,proof depth,86,10,36,25,160,ship,negative,lane-boundary,lower-confidence
m049,g049,event finality,106,26,9,34,288,ship,baseline,monotonic-signal,raise-signal
m050,g050,nonce pressure,106,26,18,80,362,ship,edge,drag-penalty,drop-slack
m051,g051,settlement risk,70,10,31,21,130,watch,recovery,confidence-floor,raise-drag
m052,g052,proof depth,100,34,8,69,356,ship,negative,lane-boundary,lower-confidence
m053,g053,event finality,39,48,43,31,102,hold,baseline,monotonic-signal,raise-signal
m054,g054,nonce pressure,43,21,20,96,259,ship,edge,drag-penalty,drop-slack
m055,g055,settlement risk,97,52,17,47,306,ship,recovery,confidence-floor,raise-drag
m056,g056,proof depth,39,65,28,14,115,hold,negative,lane-boundary,lower-confidence
m057,g057,event finality,67,39,38,65,227,ship,baseline,monotonic-signal,raise-signal
m058,g058,nonce pressure,71,52,45,88,280,ship,edge,drag-penalty,drop-slack
m059,g059,settlement risk,81,43,28,61,271,ship,recovery,confidence-floor,raise-drag
m060,g060,proof depth,45,35,39,81,209,ship,negative,lane-boundary,lower-confidence
m061,g061,event finality,84,69,8,30,281,ship,baseline,monotonic-signal,raise-signal
m062,g062,nonce pressure,93,42,36,89,334,ship,edge,drag-penalty,drop-slack
m063,g063,settlement risk,105,13,37,37,223,ship,recovery,confidence-floor,raise-drag
m064,g064,proof depth,115,30,8,88,420,ship,negative,lane-boundary,lower-confidence
m065,g065,event finality,89,41,40,95,329,ship,baseline,monotonic-signal,raise-signal
m066,g066,nonce pressure,66,3,16,53,209,ship,edge,drag-penalty,drop-slack
m067,g067,settlement risk,62,73,33,37,205,ship,recovery,confidence-floor,raise-drag
m068,g068,proof depth,64,70,12,20,214,ship,negative,lane-boundary,lower-confidence
m069,g069,event finality,77,36,27,79,294,ship,baseline,monotonic-signal,raise-signal
m070,g070,nonce pressure,30,11,36,20,39,hold,edge,drag-penalty,drop-slack
m071,g071,settlement risk,102,17,28,81,327,ship,recovery,confidence-floor,raise-drag
m072,g072,proof depth,54,52,36,17,122,watch,negative,lane-boundary,lower-confidence
m073,g073,event finality,86,72,45,95,344,ship,baseline,monotonic-signal,raise-signal
m074,g074,nonce pressure,92,39,9,46,297,ship,edge,drag-penalty,drop-slack
m075,g075,settlement risk,59,76,42,26,162,ship,recovery,confidence-floor,raise-drag
m076,g076,proof depth,46,57,28,51,195,ship,negative,lane-boundary,lower-confidence
m077,g077,event finality,96,15,5,87,371,ship,baseline,monotonic-signal,raise-signal
m078,g078,nonce pressure,111,20,37,60,288,ship,edge,drag-penalty,drop-slack
m079,g079,settlement risk,39,42,20,93,266,ship,recovery,confidence-floor,raise-drag
m080,g080,proof depth,50,15,23,16,101,hold,negative,lane-boundary,lower-confidence
m081,g081,event finality,68,39,30,88,291,ship,baseline,monotonic-signal,raise-signal
m082,g082,nonce pressure,111,42,6,36,324,ship,edge,drag-penalty,drop-slack
m083,g083,settlement risk,53,37,31,100,281,ship,recovery,confidence-floor,raise-drag
m084,g084,proof depth,71,57,35,81,291,ship,negative,lane-boundary,lower-confidence
m085,g085,event finality,93,70,21,52,318,ship,baseline,monotonic-signal,raise-signal
m086,g086,nonce pressure,50,33,15,36,175,ship,edge,drag-penalty,drop-slack
m087,g087,settlement risk,80,68,42,32,208,ship,recovery,confidence-floor,raise-drag
m088,g088,proof depth,99,48,25,65,326,ship,negative,lane-boundary,lower-confidence
m089,g089,event finality,121,40,43,105,406,ship,baseline,monotonic-signal,raise-signal
m090,g090,nonce pressure,34,63,11,80,269,ship,edge,drag-penalty,drop-slack
m091,g091,settlement risk,86,58,46,29,196,ship,recovery,confidence-floor,raise-drag
m092,g092,proof depth,116,18,12,81,388,ship,negative,lane-boundary,lower-confidence
m093,g093,event finality,55,35,21,45,193,ship,baseline,monotonic-signal,raise-signal
m094,g094,nonce pressure,58,35,6,25,189,ship,edge,drag-penalty,drop-slack
m095,g095,settlement risk,68,19,28,63,225,ship,recovery,confidence-floor,raise-drag
m096,g096,proof depth,33,8,30,73,160,ship,negative,lane-boundary,lower-confidence
